kind,address,name,file,line,votes,detail
callee-kept,0079ad8d,dxC_Create2DTexture (dxC_Create2DTexture),,,5/5,"from 0079d57b: dxC_Create2DTexture( pTexture->nWidthInPixels; pTexture->nHeight; 1; tUsagePool; *(DXC_FORMAT*)&pTexture->nFormat; &pTexture->pD3DTexture; pTexture->pbLocalTextureData)"
callee-kept,0077f582,sGetFullShaderPath (sGetFullShaderPath),,,1/1,"from 0077f684: sGetFullShaderPath( fullname; filename; eFolder; eSubFolder; "Dx9" )"
callee-kept,007dd984,sBuildUnitSphere (sBuildUnitSphere),,,3/3,"from 007dde8a: sBuildUnitSphere( &sgtUnitSphere1; 1 )"
callee-kept,00785181,dx9_EffectSetFloat (dx9_EffectSetFloat),,,10/10,"from 00783f1f: dx9_EffectSetFloat( pEffect; tTechnique; EFFECT_PARAM_FOGDISTANCEMAX; fFogFar )"
callee-kept,00780984,sTechniqueCacheUpdate (sTechniqueCacheUpdate),,,1/1,"from 007809c9: sTechniqueCacheUpdate( tRef; ptCache; nFromCache )"
callee-kept,0078b187,e_SetFogEnabled (e_SetFogEnabled),,,12/12,"from 0077ace4: e_SetFogEnabled( e_GetRenderFlag( RENDER_FLAG_FOG_ENABLED ) )"
callee-kept,00789e78,dx9_ComputeSHPointLights (dx9_ComputeSHPointLights),,,1/1,"from 00789c8d: dx9_ComputeSHPointLights( pModel; &tLights; tSHCoefsBase; tSHCoefsPointLights )"
callee-kept,0078ce7c,e_GetModelRenderAABBInObject (e_GetModelRenderAABBInObject),,,4/4,"from 0078cd48: e_GetModelRenderAABBInObject( nModelID; &tAABB )"
callee-kept,0078167d,dx9_EffectSetTexture (dx9_EffectSetTexture),,,6/6,"from 007d2810: dx9_EffectSetTexture( pEffect; hParam; pBaseTexture  )"
callee-kept,0077fe72,dx9_EffectTechniqueSetParamFlags (dx9_EffectTechniqueSetParamFlags),,,1/1,"from 0078043d: dx9_EffectTechniqueSetParamFlags( pEffect; *pTech )"
callee-kept,0079567e,sCopyLayerToCanvasCompressed (sCopyLayerToCanvasCompressed),,,1/1,"from 00795a3e: sCopyLayerToCanvasCompressed( pbCanvas; pbLayer; eLayerTextureType; nBlend; tCanvasDesc.Width; nBlendWidth; (DXC_FORMAT)pCanvas->nFormat )"
callee-kept,007cda75,dx9_RenderModel (dx9_RenderModel),,,3/3,"from 007b3b50: dx9_RenderModel( nDrawList; pCommand->nID )"
callee-kept,007b3271,dxC_UpdateBufferEx (dxC_UpdateBufferEx),,,1/1,"from 007aec1f: dxC_UpdateBufferEx( pVB->pD3DVertices; pLocalBuffer->m_pLocalVertexBuffer; 0; buffersize; pVB->tUsage; pEngineBuffer->m_bDynamic )"
callee-kept,00785675,dxC_VertexBufferReleaseResource (dxC_VertexBufferReleaseResource),,,5/5,"from 007856ad: dxC_VertexBufferReleaseResource( nID )"
callee-kept,00789276,dxC_SelectLightsSpecularOnly (dxC_SelectLightsSpecularOnly),,,1/1,"from 007c6340: dxC_SelectLightsSpecularOnly( pModel; pState; pEnvDef; tLights )"
callee-kept,004ac244,sGetConnectionPathNodePosition (sGetConnectionPathNodePosition),,,1/1,"from 004ac77c: sGetConnectionPathNodePosition( pDestRoom; pConnectedRoom; vStartLoc; vNewKnotPos )"
callee-kept,00786e77,e_MaterialRestore (e_MaterialRestore),,,5/5,"from 0043de34: e_MaterialRestore( pDef->nID )"
callee-kept,007d1e6f,dxC_ViewportGetDimensions (dxC_ViewportGetDimensions),,,1/1,"from 007a6ab6: dxC_ViewportGetDimensions( tVP; eTarget; 0; pViewer->nSwapChainIndex )"
callee-kept,0079ba6b,dx9_TextureFileProcess (dx9_TextureFileProcess),,,3/3,"from 0079bf13: dx9_TextureFileProcess(pTexture; pDefinition; spec->pakEnum )"
callee-kept,0078fa6c,dxC_MeshFree (dxC_MeshFree),,,2/2,"from 0078c91f: dxC_MeshFree( pMesh )"
callee-kept,007af26e,e_UITextureDrawBuffersFree (e_UITextureDrawBuffersFree),,,1/1,"from 004ff76b: e_UITextureDrawBuffersFree( texture->m_nEngineBuffer; texture->m_nLocalBuffer )"
callee-kept,007a5a6c,dxC_MaterialGetCubeMap (dxC_MaterialGetCubeMap),,,1/1,"from 007c68ec: dxC_MaterialGetCubeMap( pMaterial; nCubeMapID; nEnvMapMIPLevels )"
callee-kept,007a666d,dxC_ViewerGet (dxC_ViewerGet),,,11/11,"from 007a6856: dxC_ViewerGet( nViewerID; pViewer )"
callee-kept,007bbe63,EnumerateChoiceInternalNames (EnumerateChoiceInternalNames),,,1/1,"from 007bc138: EnumerateChoiceInternalNames(nLineName; nChoiceIndex; szInternalName; nChars)"
callee-kept,00780e61,dx9_EffectLoad (dx9_EffectLoad),,,2/2,"from 0078105c: dx9_EffectLoad( pEffect->nId; eFolder; nEffectDefId; bForceSync )"
callee-kept,0079f259,e_TextureGetBits (e_TextureGetBits),,,2/2,"from 007af47a: e_TextureGetBits( d3dtex->nId; (void**)&d3dtex->pbLocalTextureData; nSize; 1 )"
callee-kept,007ad65a,e_PrimitiveAddBox (e_PrimitiveAddBox),,,2/2,"from 0077eb69: e_PrimitiveAddBox( (DWORD)(1 << (0)) | (DWORD)(1 << (2)); pData->tOBBw; 0x1f002f00 )"
callee-kept,00799a5a,dx9_PlatformCapSetMinMax (dx9_PlatformCapSetMinMax),,,1/1,"from 007a0bea: dx9_PlatformCapSetMinMax(nFlag; nMin; nMax)"
callee-kept,0078425b,dxC_EffectSetPixelAccurateOffset (dxC_EffectSetPixelAccurateOffset),,,5/5,"from 00786224: dxC_EffectSetPixelAccurateOffset( pEffect; tTechnique )"
callee-kept,007eea59,dxC_CommandGetStats (dxC_CommandGetStats),,,1/1,"from 007eeaff: dxC_CommandGetStats( wszCmd; 1024; *i )"
callee-kept,007e2656,dxC_OcclusionQueryEnd (dxC_OcclusionQueryEnd),,,1/1,"from 007ec975: dxC_OcclusionQueryEnd( pQuery )"
